session_id,date,search,retrieval,retrieval_from_search,preview,preview_from_search,rs_ratio,add_to_my_list,email,print,export_easylib,
182302E4C9978A5BEE0DC1418C420318,2014-11-02,0,0,0,0,0,-1,4,0,0,0,
53E4AAC7A8BF6223460273F39ED64AB5,2014-11-02,0,0,0,0,0,-1,0,0,1,0,
11EE05442D34C130A80B37B9898C6DC8,2014-11-02,1,5,5,1,1,6.0,0,0,0,1,
A0600F38672AE2E5BFAA67D76ECF76BB,2014-11-02,1,3,3,0,0,3.0,0,0,1,0,
AD470342CCD26468F1C971908C9033BF,2014-11-02,0,0,0,0,0,-1,1,0,0,1,
894DD1E52D7112255C2589D5795ABE2C,2014-11-02,0,2,2,0,0,-1,0,0,2,0,
BF05451D9E7C19532BAD4E46CE5478E1,2014-11-02,11,1,1,0,0,0.0909090909091,0,1,0,0,
47C6E99D8870BA95D9E8C7A1E311D815,2014-11-02,5,3,3,3,3,1.2,1,0,0,0,
E1A64D62B38B7F4C4D876F9442C79CE0,2014-11-02,5,3,3,0,0,0.6,1,0,0,0,
7884F1F5A4F57859BF28C035F5C37B9C,2014-11-02,0,0,0,0,0,-1,0,1,0,0,
34C6E84810B8AC95B4F98DDDA1AD9395,2014-11-02,0,1,1,0,0,-1,0,0,1,0,
D523CD8B835DA7C0245E3AD802ED2339,2014-11-02,0,1,1,0,0,-1,0,0,1,0,
AFB0A04C126CBEF1D13DDF498A0070B6,2014-11-02,0,1,1,0,0,-1,1,0,0,0,
AE4802AB84CBF708EE2C26DDC371067B,2014-11-02,1,3,3,0,0,3.0,1,1,0,0,
